allele_id,prefix_consistency,in_optimal,objective_diff,band0_copies,band1_copies,band2_copies,band3_copies,band4_copies,band5_copies,sample_id,gene_type,is_functional_db,is_functional_file,is_functional
IGHV3-42*02,0,True,,1.0,0.0,1.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV2-5*02,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3-15*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-42*04,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-67-3D*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-49*03,1,True,2.0009828311680335,1.0,2.0,0.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-9*04,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV(III)-67-4*03,3,True,6.001412819804048,1.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-59*11,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV(II)-43-1*01,0,False,,0.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-75*03,1,True,2.0009828311680335,2.0,1.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-17*04,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-67-2*01,2,True,4.000429988636014,2.0,2.0,2.0,1.0,2.0,0,HG03516,IGHV,False,False,False
IGHV1-18*02,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1/OR15-5*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV4-30-2*04,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV(II)-74-1*02,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-25*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV(II)-67-1*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-10*02,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,2.0,0,HG03516,IGHV,False,False,False
IGHV(III)/OR16-25*01,4,True,8.000859977272029,4.0,4.0,4.0,4.0,4.0,0,HG03516,IGHV,False,False,False
IGHV(III)-25-1*06,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-52*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-74*02,2,False,4.000429988636014,0.0,1.0,1.0,2.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3-76*05,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-69*03,0,False,,0.0,0.0,0.0,1.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-54*03,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-29*02,0,False,,0.0,0.0,2.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV8-51-1*04,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV2-26*02,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV(II)-53-1*03,2,True,4.000429988636014,1.0,1.0,1.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV1-69*14,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV3-30-33*01,1,True,2.0009828311680335,1.0,1.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-21*03,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1-3*02,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV3/OR16-6*03,0,True,,1.0,0.0,1.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV1-18*04,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV1/OR15-6*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV(III)-2-1*01,0,True,,1.0,0.0,0.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV7-34-1*01,2,True,4.000429988636014,1.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-78-1*01,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-60-1*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-13*04,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,False,True
IGHV7-34-1*03,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(III)-16-1*02,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-46*01,1,True,2.0009828311680335,2.0,1.0,2.0,1.0,2.0,0,HG03516,IGHV,True,True,True
IGHV3-38*02,2,True,4.000429988636014,1.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-26-2*01,1,True,2.0009828311680335,1.0,1.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-49*04,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV3-7*01,0,True,,1.0,0.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV1/OR16-26*01,1,True,2.0009828311680335,2.0,3.0,2.0,3.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-49*05,0,False,,0.0,0.0,2.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3/OR16-19*01,1,False,2.0009828311680335,0.0,2.0,1.0,1.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-36*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-43-1D*01,2,True,4.000429988636014,3.0,1.0,1.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-23*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-53*02,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV(II)-12-1*03,4,True,8.000859977272029,1.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV(II)-15-1*02,2,True,4.000429988636014,2.0,2.0,2.0,3.0,3.0,0,HG03516,IGHV,False,False,False
IGHV3/OR15-7*05,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-30-4*10,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3-19*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-38-1*02,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1/OR16-22*01,2,True,4.000429988636014,1.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-38*03,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-38-2*03,2,False,4.000429988636014,0.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV1/OR15-2*02,2,True,4.000429988636014,1.0,1.0,1.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-61*09,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(II)-40-1*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV4-59*03,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV4-30-2*02,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,False,True
IGHV7-81*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-20-1*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-8*01,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(II)-46-1*01,1,True,2.0009828311680335,1.0,1.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR15-7*01,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-16-1*03,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(IV)-44-1*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-30*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,True,True,True
IGHV(II)-30-21*03,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-80*03,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV2-70*23,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1-68*04,3,True,6.001412819804048,4.0,4.0,4.0,4.0,3.0,0,HG03516,IGHV,False,False,False
IGHV(II)-12-1*01,2,True,4.000429988636014,1.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-14*02,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-39*07,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV2-70*08,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1/OR16-4*01,1,True,2.0009828311680335,1.0,2.0,1.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-35*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-39*06,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV7-40*03,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-6*01,1,True,2.0009828311680335,1.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV2-70*10,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV(II)-15-1*01,2,True,4.000429988636014,1.0,1.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-30-4*08,1,True,2.0009828311680335,2.0,2.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV7-27*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-76-1*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-9*01,1,True,2.0009828311680335,4.0,4.0,3.0,3.0,3.0,0,HG03516,IGHV,False,False,False
IGHV4-55*01,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-16*02,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV7-56*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV1/OR15-1*01,1,True,2.0009828311680335,3.0,3.0,2.0,3.0,2.0,0,HG03516,IGHV,False,False,False
IGHV1-18*01,0,True,,1.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV(II)-30-32*02,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(II)-4-4*01,1,True,2.0009828311680335,1.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV4-34*03,2,True,4.000429988636014,1.0,1.0,1.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV4-31*06,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV4-28*04,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3/OR16-16*01,1,True,2.0009828311680335,2.0,3.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-9*03,1,True,2.0009828311680335,1.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-52*01,1,True,2.0009828311680335,2.0,2.0,0.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-59*01,0,True,,1.0,0.0,1.0,2.0,1.0,0,HG03516,IGHV,True,True,True
IGHV2-5*11,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3-30-2*01,0,True,,1.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-21*05,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3/OR16-20*01,1,True,2.0009828311680335,2.0,2.0,4.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-26-1*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-63*01,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-22*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV7-34-1*02,0,False,,0.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(IV)-44-1*01,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV2/OR16-23*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV1/OR15-4*01,4,True,8.000859977272029,3.0,3.0,3.0,3.0,3.0,0,HG03516,IGHV,False,False,False
IGHV4-59*13,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV(III)-13-1*02,1,True,2.0009828311680335,4.0,4.0,3.0,4.0,3.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-12*01,4,True,8.000859977272029,3.0,3.0,3.0,3.0,3.0,0,HG03516,IGHV,False,False,False
IGHV3-72*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,True,True,True
IGHV3-43D*03,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV1/OR16-24*01,1,True,2.0009828311680335,4.0,3.0,4.0,4.0,4.0,0,HG03516,IGHV,False,False,False
IGHV2-5*03,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV2-10*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-42*01,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-29*01,1,True,2.0009828311680335,1.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV4/OR15-8*03,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-6*02,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-14*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV4-34*01,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV(II)-30-1*01,1,True,2.0009828311680335,1.0,1.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-59*12,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1-67*01,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-13*01,1,True,2.0009828311680335,1.0,1.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-65*01,2,True,4.000429988636014,2.0,2.0,2.0,1.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-71*04,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1/OR16-4*02,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-68*02,0,False,,0.0,0.0,0.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-63*03,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV2-70*05,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-53*04,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-30-5*01,0,True,,1.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV1-69*09,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV1/OR15-1*02,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-55*08,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-66*01,2,True,4.000429988636014,1.0,2.0,2.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV3-62*04,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3/OR16-7*01,1,True,2.0009828311680335,1.0,3.0,1.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-30-21*01,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-64*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-62*07,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-64*01,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV5-51*07,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV1-45*02,1,True,2.0009828311680335,2.0,2.0,1.0,2.0,1.0,0,HG03516,IGHV,True,True,True
IGHV1-69*04,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV(II)-43-1D*02,4,False,8.000859977272029,0.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-79*03,0,False,,0.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-25-1*04,0,True,,1.0,0.0,1.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV4-34*02,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,False,True
IGHV(II)-53-1*05,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-15*02,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3-30*03,1,False,2.0009828311680335,0.0,1.0,0.0,1.0,1.0,0,HG03516,IGHV,True,False,True
IGHV1-14*03,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV7-40D*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-69-1*02,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-64*07,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(III)-25-1*05,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-16*04,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-62*06,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(II)-30-1*02,0,True,,1.0,0.0,0.0,1.0,1.0,0,HG03516,IGHV,False,False,False
