allele_id,prefix_consistency,in_optimal,objective_diff,band0_copies,band1_copies,band2_copies,band3_copies,band4_copies,band5_copies,sample_id,gene_type,is_functional_db,is_functional_file,is_functional
IGHV3-16*02,1,True,2.0009828311680335,1.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-47*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV4-38-2*02,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV1-69*17,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03516,IGHV,True,True,True
IGHV(II)-78-1*02,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV5-51*03,1,True,2.0009828311680335,1.0,1.0,2.0,2.0,0.0,0,HG03516,IGHV,True,True,True
IGHV7-56*01,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-30-33*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-16*01,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(III)-67-3*01,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV1-69-2*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-11*01,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(III)-67-4*02,2,True,4.000429988636014,2.0,2.0,2.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-22-1D*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-43-1*02,1,True,2.0009828311680335,2.0,2.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-28-1*01,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-21*08,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-35*02,3,True,6.001412819804048,1.0,1.0,1.0,1.0,0.0,0,HG03516,IGHV,True,True,True
IGHV3-53*05,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(II)-51-2*02,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-10*01,4,True,8.000859977272029,4.0,3.0,3.0,3.0,3.0,0,HG03516,IGHV,False,False,False
IGHV(II)-44-2*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV1/OR16-1*01,1,True,2.0009828311680335,2.0,3.0,2.0,2.0,3.0,0,HG03516,IGHV,False,False,False
IGHV4-61*02,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-37*02,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3-69-1*01,1,True,2.0009828311680335,1.0,2.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-69-2*01,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-73*01,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV1-24*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(III)-67-4*04,0,True,,1.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-66*04,0,True,,1.0,0.0,0.0,0.0,2.0,0,HG03516,IGHV,True,True,True
IGHV3-33-2*01,1,True,2.0009828311680335,2.0,2.0,1.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-69*10,0,True,,1.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,True,True,True
IGHV1/OR15-2*03,1,True,2.0009828311680335,1.0,1.0,2.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV4-34*13,1,False,2.0009828311680335,0.0,1.0,0.0,0.0,1.0,0,HG03516,IGHV,True,False,True
IGHV3-9*01,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,True,False,True
IGHV3/OR15-7*03,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-11-1*04,2,True,4.000429988636014,1.0,1.0,1.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-7*02,0,True,,1.0,0.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-17*01,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(III)-67-3*03,1,True,2.0009828311680335,1.0,1.0,2.0,1.0,2.0,0,HG03516,IGHV,False,False,False
IGHV3/OR16-18*01,1,True,2.0009828311680335,1.0,1.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV(II)-51-2*01,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV1/OR15-6*01,3,True,6.001412819804048,3.0,4.0,4.0,4.0,3.0,0,HG03516,IGHV,False,False,False
IGHV1-8*03,1,True,2.0009828311680335,1.0,1.0,0.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV3-52*03,0,False,,0.0,0.0,2.0,1.0,0.0,0,HG03516,IGHV,False,False,False
IGHV(II)-49-1*01,3,True,6.001412819804048,2.0,2.0,2.0,2.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1-58*02,2,True,4.000429988636014,2.0,2.0,2.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(II)-62-1*04,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03516,IGHV,False,False,False
IGHV3-30-42*03,4,True,8.000859977272029,1.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,False,False,False
IGHV3-20*04,4,False,8.000859977272029,0.0,1.0,1.0,1.0,1.0,0,HG03516,IGHV,True,False,True
IGHV4-55*05,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03516,IGHV,False,False,False
IGHV1/OR16-3*01,4,True,8.000859977272029,2.0,2.0,2.0,2.0,2.0,0,HG03516,IGHV,False,False,False
IGHV4-38-2*01,0,True,,1.0,0.0,0.0,1.0,1.0,0,HG03516,IGHV,True,True,True
IGHV(II)-30-41*01,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03516,IGHV,False,False,False
