allele_id,prefix_consistency,in_optimal,objective_diff,band0_copies,band1_copies,band2_copies,band3_copies,band4_copies,band5_copies,sample_id,gene_type,is_functional_db,is_functional_file,is_functional
IGHV3-16*02,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-47*01,4,True,8.000056269078733,1.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV4-38-2*02,1,True,2.0003657490117743,1.0,2.0,1.0,2.0,1.0,0,HG03579,IGHV,True,True,True
IGHV1-69*17,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03579,IGHV,True,False,True
IGHV(II)-78-1*02,1,True,2.0003657490117743,2.0,1.0,2.0,2.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-21*04,1,False,2.0003657490117743,0.0,1.0,0.0,0.0,0.0,0,HG03579,IGHV,True,False,True
IGHV5-51*03,0,True,,1.0,0.0,0.0,0.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3-30-33*02,2,True,4.000731498023549,1.0,1.0,1.0,2.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-16*01,1,False,2.0003657490117743,0.0,1.0,0.0,0.0,0.0,0,HG03579,IGHV,False,False,False
IGHV(III)-67-3*01,1,False,2.0003657490117743,0.0,1.0,0.0,0.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-20*03,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-11*01,0,False,,0.0,0.0,0.0,0.0,1.0,0,HG03579,IGHV,True,False,True
IGHV(III)-67-4*02,2,True,4.000731498023549,1.0,1.0,1.0,0.0,2.0,0,HG03579,IGHV,False,False,False
IGHV(II)-22-1D*02,4,True,8.000056269078733,1.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV3-33*08,0,True,,1.0,0.0,0.0,0.0,0.0,0,HG03579,IGHV,True,True,True
IGHV3-43D*06,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03579,IGHV,True,False,True
IGHV(II)-43-1*02,4,False,8.000056269078733,0.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV(II)-28-1*01,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03579,IGHV,False,False,False
IGHV3-35*02,0,False,,0.0,0.0,0.0,1.0,0.0,0,HG03579,IGHV,True,False,True
IGHV3-53*07,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03579,IGHV,False,False,False
IGHV3-53*05,0,False,,0.0,0.0,1.0,0.0,1.0,0,HG03579,IGHV,True,False,True
IGHV(II)-51-2*02,0,False,,0.0,0.0,1.0,0.0,0.0,0,HG03579,IGHV,False,False,False
IGHV5-51*05,0,True,,1.0,0.0,0.0,0.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3/OR16-10*01,1,True,2.0003657490117743,1.0,2.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV(II)-44-2*01,4,True,8.000056269078733,2.0,2.0,2.0,2.0,2.0,0,HG03579,IGHV,False,False,False
IGHV1/OR16-1*01,4,True,8.000056269078733,2.0,2.0,2.0,2.0,2.0,0,HG03579,IGHV,False,False,False
IGHV4-61*02,0,True,,1.0,0.0,1.0,1.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3-37*02,4,True,8.000056269078733,2.0,2.0,2.0,2.0,2.0,0,HG03579,IGHV,False,False,False
IGHV3-69-1*01,4,False,8.000056269078733,0.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV1-69-2*01,4,True,8.000056269078733,1.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3-73*01,4,True,8.000056269078733,1.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,True,True,True
IGHV1-24*01,4,True,8.000056269078733,1.0,1.0,1.0,1.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3-66*04,1,True,2.0003657490117743,1.0,1.0,0.0,1.0,1.0,0,HG03579,IGHV,True,True,True
IGHV3-33-2*01,1,True,2.0003657490117743,1.0,1.0,2.0,1.0,1.0,0,HG03579,IGHV,False,False,False
IGHV1-69*10,1,True,2.0003657490117743,1.0,2.0,0.0,1.0,1.0,0,HG03579,IGHV,True,True,True
